AREA;Equip.;Subconjunto;Data/Hora Início;Data/Hora Fim;Duração (min);Tipo Parada;Razão Parada;Comentários;Tipo AF;Status;Responsável;ID AF;Path
REF;;;09/01/2024 00:35;09/01/2024 03:35;180;MECANICA;A 1 - FADIGA;"aborto de vazamento por baixa vazão de agua nos moldes, manutenção realizando varios teste para liberar para vazar, foi feito teste de emergência.
Manutenção. Ocorrência:Aborto de vazamento
Causa:Possível travamento da válvula de controle de água Ação:Limpeza e lubrificação da haste da válvula de controle de água, realizados testes das porcentagens de abertura da válvula e simulação de vazamento";MINI RCA;Concluído;Jonas e José;;C:\Users\leona\Downloads\DADOS_ANALISE_FALHA\ACAB\Análise de Falha - 2023\RM1\Agosto\Falha Hold down Roll\20220705-RCA-RM1-Falha Roll down Roll.xlsx
REF;;;09/01/2024 10:00;09/01/2024 11:29;89;ELETRICA;A 4 - DESARME;"Melter com problemas no sistema de combustao.
Damper travado , muita pressâo no forno elevando a temperatura da aboboda e com isso diminui a demando
MANUTENÇÃO
OCORRENCIA:DAMPER COM FALHA
CAUSA:SENSOR DO DAMPER COM DEFEITO
AÇÃO:TROCADO SENSOR DO DAMPER";MINI RCA;Concluído;Cruyff e Johny;;C:\Users\leona\Downloads\DADOS_ANALISE_FALHA\ACAB\Análise de Falha - 2023\RM1\Dezembro\20221202-RCA-RM1 Desarme do drive do Motor Desenrolador (lado operador).xlsx
REF;;;11/01/2024 05:56;11/01/2024 09:45;229;MECANICA;A 1 - FLUXO INADEQUADO;"aborto de vazamento devido sistema de vazão de agua.
Manutenção: houve aborto por variação na vazão de agua, foi realizada a troca do posicionador da válvula de controle e reaperto no atuador do posicionador.";MINI RCA;Concluído;Marcos Paulo;;C:\Users\leona\Downloads\DADOS_ANALISE_FALHA\ACAB\Análise de Falha - 2023\RM1\Janeiro - 23\20230118-RCA-RM1 Vazamento de óleo cilindro hidráulico (CADASTRADA).xlsx
REF;;;11/01/2024 09:45;11/01/2024 17:03;438;MECANICA;A 1 - TRAVAMENTO;"aborto de vazamento devido sistema de vazão de agua.
Manutenção: Foi verificado que a válvula de by-pass do backwash não estava fechando, foi necessário substituir a borboleta da válvula de by-pass e adaptar um novo atuador pneumático. borboleta da válvula estava travada.";RCA;Concluído;Marcos Paulo, Luan e Rafael;;C:\Users\leona\Downloads\DADOS_ANALISE_FALHA\ACAB\Análise de Falha - 2023\RM1\Julho\20220701-RCA_PEABODY.xlsx
REF;;;13/01/2024 19:07;14/01/2024 15:28;1221;MECANICA;A 1 - TRAVAMENTO;"problema na válvula de agua.
Ocorrência: Durante precheck não estava atingindo a vazão de água
Causa: válvula principal de água fechada. Durante a abertura, a válvula danificou-se
Ação: Feito paliativo para se conseguir fazer a abertura da válvula";CAPA;Concluído;Rafael, Danilo e Marcos Paulo;;C:\Users\leona\Downloads\DADOS_ANALISE_FALHA\ACAB\Análise de Falha - 2023\RM1\Julho\20220703_DRIVE ENROLADOR_v2.xlsx
REF;;;15/01/2024 21:42;16/01/2024 00:02;140;MECANICA;A 1 - TRAVAMENTO;"ABORTO DE VAZAMENTO DEVIDO PARADA DOS ROTORES 1 E 2 DO ACD
Manutenção: Ocorrência: Rotores 1 e 2 travaram durante o vazamento
Causa: Eixo encostando na chapa defletora
Ação: Alinhado os eixos";MINI RCA;Concluído;Jonas, Lucas, Evandro e Luan;;C:\Users\leona\Downloads\DADOS_ANALISE_FALHA\ACAB\Análise de Falha - 2023\RM1\Março - 23\20230325-RCA-RM1_DRIVE DESENROLADOR MOTOR A CONCLUIDA e CADASTRADA.xlsx
REF;;;16/01/2024 07:23;16/01/2024 10:25;182;MECANICA;A 1 - TRAVAMENTO;FALHA NOS ROTORES 1 E 2 DO ACD. MECÂNICA ATUANDO.;MINI RCA;Concluído;Jonas, Lucas, Evandro e Luan;;C:\Users\leona\Downloads\DADOS_ANALISE_FALHA\ACAB\Análise de Falha - 2023\RM1\Novembro\20221123-RCA-RM1 Refilador perda de paralelismo.xlsx
REF;;;16/01/2024 20:58;16/01/2024 22:40;102;MECANICA;A 1 - TRAVAMENTO;MECÂNICO ATUANDO NOS AJUSTES DOS ROTORES 1 E 2 DO ACD.  manutenção: o especiali segurou a correção do forno  B1 ate segunda ordem, foi liberado para fazer a correção as 22:40,mas o operador falou que iria passar para o próximo turno, pois estava dando calor para recuperar a temperatura, logo após  a correção ficou baixa tiveram que corrigir de novo transferindo há 00:25. ACD foi liberado as 00:30;MINI RCA;Concluído;Jonas, Lucas, Evandro e Luan;;C:\Users\leona\Downloads\DADOS_ANALISE_FALHA\ACAB\Análise de Falha - 2023\RM1\Novembro\20221129-RM1-RCA Desarme da Subestação da RM1.xlsx
REF;;;23/01/2024 13:11;23/01/2024 15:15;124;MECANICA;A 1 - TRAVAMENTO;"Quebra do rotor 2 e 3 Mecanica e eletrica trabalhando na troca.
Manutenção: Ocorrência: Quebra dos rotores 2 e 3 
Causa: Em análise
Ação: Realizado a troca dos rotores 2 e 3";MINI RCA;Concluído;Everton, João Pedro e Marcos Paulo;;C:\Users\leona\Downloads\DADOS_ANALISE_FALHA\ACAB\Análise de Falha - 2023\RM1\Outubro\20221018-RCA-RM1 SENSOR BARREIRA DE LUZ.xlsx
REF;;;25/01/2024 14:05;25/01/2024 15:35;90;MECANICA;A 1 - DESGASTE;retirado molde para fazer limpeza e retornaram com o mesmo após limpeza. foi colocado papel nos gap pois está com muita folga.;MINI RCA;Concluído;Giullia e Carolina;;C:\Users\leona\Downloads\DADOS_ANALISE_FALHA\ACAB\Análise de Falha - 2023\CCL\06-Junho\Falha Válvula Proporcional.xlsx
